Código,Tipo,Data,Horário,Presencial,Duvidas
2144468,Individual,11/04/19,13:15 à 13:52,Sala,Registrado
2070294,Exercícios,11/04/19,13:04 à 13:37,Sala,Registrado
2012250,Exercícios,11/04/19,13:10 à 13:34,Sala,Registrado
2102544,Exercícios,11/04/19,13:25 à 13:50,Sala,Registrado
2102439,Exercícios,11/04/19,13:25 à 13:50,Sala,Registrado
2070308,Exercícios,11/04/19,13:14 à 13:31,Sala,Registrado
2101920,Exercícios,12/04/19,15:24 à 16:02,Sala,Registrado
2110458,Exercícios,12/04/19,15:24 à 16:02,Sala,Registrado
2101920,Exercícios,12/04/19,16:09 à 16:20,Não,Registrado
2143941,Exercícios,15/04/19,13:10 à 13:50,Sala,Registrado
2144212,Exercícios,15/04/19,13:22 à 13:50,Sala,Registrado
2145120,Exercícios,15/04/19,13:22 à 13:50,Sala,Registrado
2143941,Individual,17/04/19,13:00 à 13:50,Sala,Registrado
1538330,Exercícios,17/04/19,13:30 à 13:50,Sala,Registrado
2102323,Exercícios,17/04/19,13:23 à 13:45,Sala,Registrado
2102374,Exercícios,17/04/19,13:23 à 13:45,Sala,Registrado
2051842,Exercícios,18/04/19,13:24 à 13:35,Sala,Registrado
2051842,Individual,22/04/19,13:05 à 13:28,Sala,Registrado
1538330,Individual,22/04/19,13:25 à 13:50,Sala,Registrado
1885928,Exercícios,24/04/19,17:52 à 19:48,Não,Registrado
1885928,Exercícios,24/04/19,13:12 à 13:34,Não,Registrado
1885928,Exercícios,30/04/19,23:32 à 23:51,Não,Registrado
2102439,Individual,02/05/19,13:02 à 13:31,Sala,Registrado
2144212,Individual,03/05/19,15:55 à 16:15,Sala,Registrado
2145081,Individual,10/05/19,15:36 à 16:20,Sala,Registrado
1885928,Individual,21/05/19,22:40 à 23:05,Não,Registrado
2143941,Individual,21/05/19,22:19 à 22:46,Não,Registrado
1830040,Exercícios,22/05/19,12:49 à 13:56,Sala,Registrado
2143941,Individual,23/05/19,13:00 à 13:44,Sala,Registrado
2102250,Exercícios,23/05/19,13:00 à 13:44,Sala,Registrado
1996924,Exercícios,24/05/19,15:30 à 15:39,Sala,Registrado
2101920,Exercícios,24/05/19,15:35 à 15:41,Sala,Registrado
2110458,Exercícios,24/05/19,15:32 à 15:50,Sala,Registrado
2070308,Exercícios,24/05/19,15:39 à 15:59,Sala,Registrado
1885928,Exercícios,27/05/19,12:44 à 12:52,Sala,Registrado
2145081,Individual,27/05/19,13:20 à 13:44,Sala,Registrado
1885928,Individual,28/05/19,23:41 à 00:16,Não,Registrado
2051664,Individual,27/05/19,23:27 à 00:00,Não,Registrado
1830040,Exercícios,29/05/19,13:21 à 13:50,Sala,Registrado
2102439,Exercícios,30/05/19,13:05 à 13:38,Sala,Registrado
2102250,Exercícios,30/05/19,13:07 à 13:38,Sala,Registrado
2070308,Exercícios,30/05/19,15:00 à 15:28,Sala,Registrado
2101920,Exercícios,31/05/19,14:40 à 15:34,Sala,Registrado
2102323,Exercícios,31/05/19,15:00 à 15:26,Sala,Registrado
2070294,Exercícios,31/05/19,15:56 à 16:16,Sala,Registrado
1538330,Individual,03/06/19,13:15 à 13:38,Sala,Registrado
1885928,Individual,04/06/19,20:50 à 20:59,Não,Registrado
2101920,Exercícios,13/06/19,10:20 à 11:30,Sala,Registrado
2102439,Exercícios,13/06/19,10:25 à 11:30,Sala,Registrado
1996924,Exercícios,14/06/19,15:10 à 16:10,Sala,Registrado
1998013,Exercícios,17/06/19,13:09 à 14:02,Sala,Registrado
2070308,Exercícios,17/06/19,13:09 à 13:42,Sala,Registrado
1997700,Exercícios,17/06/19,13:20 à 13:42,Sala,Registrado
2101920,Exercícios,17/06/19,13:00 à 14:02,Sala,Registrado
2051842,Exercícios,17/06/19,13:24 à 14:02,Sala,Registrado
2102544,Exercícios,19/06/19,13:10 à 13:35,Sala,Registrado
1997700,Exercícios,26/06/19,13:34 à 13:42,Sala,Registrado
1885928,Individual,26/06/19,13:47 à 13:55,Não,Registrado
2143941,Individual,27/06/19,13:31 à 14:01,Não,Registrado
1996924,Exercícios,28/06/19,14:48 à 15:18,Sala,Registrado
2143941,Individual,28/06/19,16:05 à 16:56,Sala,Registrado
2051842,Individual,01/07/19,13:41 à 13:59,Não,Registrado
2101920,Exercícios,05/07/19,15:20 à 15:40,Sala,Registrado
2110458,Exercícios,05/07/19,15:39 à 15:59,Sala,Registrado
2070308,Exercícios,05/07/19,15:55 à 16:15,Sala,Registrado
1997424,Exercícios,05/07/19,16:10 à 16:47,Sala,Registrado
2070294,Exercícios,05/07/19,16:30 à 16:45,Sala,Registrado
2143445,Individual,04/07/19,17:15 à 18:09,Não,Registrado
2143445,Individual,09/07/19,15:07 à 15:33,Não,Registrado
